Group_Number,Group_Description,Inventory_Code,Description,PLU_Number,SupplierStockCode,UnitsPerCase,SOH,Cases,Units,SUMOFCOST,SUMOFQTY,SUMOFSALES,SUMOFSALESEX,SUMOFTAX
7,CHOCOLATE,4668,NES BAR K/KAT CHNKY 70G,4668,151092,24,0.000,0,0,21.600,12.000,39.600,36.000,3.600
7,CHOCOLATE,23537,NES BITES C/NUT ROUGH 110G,23537,485959,12,3.000,0,3,3.860,1.000,6.500,5.909,0.591
8,GROCERY,320866,FANTASTIC CUP NDL BEEF 70G,14943,320866,12,8.000,0,8,4.650,3.000,9.000,9.000,0.000
8,GROCERY,458928,GLEN 20 COUNTRY 175G,15091,00458928,12,18.000,1,6,6.180,1.000,7.500,6.818,0.682
8,GROCERY,10164,GO NAT FRUGO BERRY 150G,10164,27959D,8,0.000,0,0,2.980,1.000,4.500,4.091,0.409
9,BISCUITS,308937,ARN CHOC MINT SLICE 200G,13193,00308937,20,3.000,0,3,12.030,3.000,15.600,14.182,1.418
9,BISCUITS,016064,ARN CHOC TIM TAM WHITE 165G,13204,16064,24,5.000,0,5,14.600,4.000,20.800,18.909,1.891
9,BISCUITS,305358,ARN SHAPES CHKN CRIMPY 175G,13234,00305358,24,59.000,2,11,6.900,2.000,8.000,7.273,0.727
9,BISCUITS,305052,ARN SHAPES CHSE BACON 180G,13233,305052,24,36.000,1,12,31.050,9.000,36.000,32.728,3.272
9,BISCUITS,305028,ARN SHAPES ORIG BBQ 175G,13230,00611929,24,7.000,0,7,27.600,8.000,31.600,28.728,2.872
9,BISCUITS,011530,F/TASTIC RCRKR SC/CHV 100G,13331,11530,12,0.000,0,0,1.330,1.000,3.200,2.909,0.291
12,SNACK FOODS,1004,*DEL* ORDER PLU 1003 PIRANHA CHICCA LIME SLT 75G,1004,26713,1,30.000,30,0,2.030,1.000,3.500,3.182,0.318
12,SNACK FOODS,1057,*DEL* ORDER PLU 1056 PIRANHA VEGE CRKR BBQ 100G,1057,26695,1,7.000,7,0,2.160,1.000,3.500,3.182,0.318
12,SNACK FOODS,6704,BLUE DINO BAR LAMINGTON 45G,6704,24755,12,1.000,0,1,2.390,1.000,4.900,4.455,0.446
12,SNACK FOODS,20341,CHEETOS CHSE BACN BALLS 90G,20341,00777050,15,4.000,0,4,1.790,1.000,3.700,3.364,0.336
