Group_Number,Group_Description,Inventory_Code,PLU_Number,Description,UnitsPerCase,SupplierStockCode,SOH,Cases,Units,CASESCARTONS,Min_Stock,Max_Stock,OnOrder,DAYSSTOCK,REORDERQTY,ReorderCases,ReorderUnits,REORDERCASESCARTONS,SUMOFQTY_7,SUMOFSALES_7,SUMOFSALESEX_7,SUMOFCOST_7,SUMOFQTY_28,SUMOFSALES_28,SUMOFSALESEX_28,SUMOFCOST_28
6,SOFTDRINKS,18927,18927,SOLO 440ML,24,10000277,79.000,3,6,3/7,0.000,0.000,216.000,138.250,0.000,0,7,-12/7,5.000,15.200,13.818,4.750,16.000,48.390,43.991,15.200
6,SOFTDRINKS,20573,20573,SOLO 600ML,24,2918,27.000,1,3,1/3,0.000,0.000,48.000,63.000,0.000,0,3,-3/3,2.000,9.000,8.182,3.020,12.000,54.000,49.091,18.120
6,SOFTDRINKS,4025,4025,SPRITE 375ML,24,950420,59.000,2,11,2/11,0.000,0.000,0.000,86.947,0.000,0,11,-2/11,2.000,5.600,5.091,2.720,19.000,52.920,48.110,25.840
6,SOFTDRINKS,18928,18928,SUNKIST 440ML,24,10005612,44.000,1,20,1/20,0.000,0.000,192.000,88.000,0.000,0,20,-9/20,4.000,12.000,10.909,3.800,14.000,42.190,38.355,13.300
6,SOFTDRINKS,20576,20576,SUNKIST 600ML,24,2938,33.000,1,9,1/9,0.000,0.000,24.000,184.800,0.000,0,9,-2/9,0.000,0.000,0.000,0.000,5.000,22.500,20.455,7.550
7,CHOCOLATE,23984,23984,ALLENS FANTALES 160G,12,00695054,8.000,0,8,0/8,0.000,0.000,48.000,44.800,0.000,0,8,-4/8,3.000,18.000,16.364,11.370,5.000,30.000,27.273,18.950
7,CHOCOLATE,351118,13564,CAD BAR BOOST 60G,35,351118,8.000,0,8,0/8,0.000,0.000,140.000,8.615,0.000,0,8,-4/8,9.000,21.150,19.227,9.630,26.000,61.650,56.045,27.820
7,CHOCOLATE,387070,13512,CAD BAR BOOST 77G,35,387070,56.000,1,21,1/21,0.000,0.000,35.000,74.667,0.000,0,21,-2/21,2.000,6.600,6.000,3.300,21.000,69.300,63.000,34.650
7,CHOCOLATE,23645,23645,CAD BAR BREAKAWAY 44G,42,581836,84.000,2,0,2/0,0.000,0.000,0.000,75.871,0.000,0,0,-2/0,13.000,31.500,28.636,13.910,31.000,74.250,67.499,33.170
7,CHOCOLATE,414966,13568,CAD BAR CARAMELLO 55G,42,414966,59.000,1,16,1/17,0.000,0.000,168.000,82.600,0.000,0,17,-5/17,6.000,15.300,13.909,6.420,20.000,50.130,45.572,21.400
7,CHOCOLATE,386993,13569,CAD BAR CHERRY RIPE 52G,48,386993,19.000,0,19,0/19,0.000,0.000,240.000,16.121,0.000,0,19,-5/19,8.000,19.350,17.591,8.560,33.000,83.250,75.680,35.310
7,CHOCOLATE,387305,13515,CAD BAR CHERRY RIPE 80G,36,387305,32.000,0,32,0/32,0.000,0.000,36.000,28.000,0.000,0,32,-1/32,3.000,9.900,9.000,4.950,32.000,104.940,95.400,52.800
7,CHOCOLATE,431170,13613,CAD BAR CHOMP 30G,63,00431170,30.000,0,30,0/30,0.000,0.000,441.000,19.535,0.000,0,30,-7/30,14.000,21.000,19.091,9.660,43.000,64.500,58.635,29.670
7,CHOCOLATE,327185,13585,CAD BAR CRUNCHIE 50G,42,327185,61.000,1,18,1/19,0.000,0.000,168.000,155.273,0.000,0,19,-5/19,0.000,0.000,0.000,0.000,11.000,28.800,26.181,11.770
7,CHOCOLATE,342070,13519,CAD BAR CRUNCHIE 80G,24,342070,6.000,0,6,0/6,0.000,0.000,120.000,24.000,0.000,0,6,-5/6,0.000,0.000,0.000,0.000,7.000,22.770,20.700,11.550
7,CHOCOLATE,23025,23025,CAD BAR CURLY WURLY 21.5G,48,00230765,136.000,2,40,2/40,0.000,0.000,96.000,211.556,0.000,0,40,-4/40,4.000,4.800,4.364,2.200,18.000,21.600,19.636,9.900
7,CHOCOLATE,386935,13570,CAD BAR DAIRY MILK 50G,48,386935,2.000,0,2,0/2,0.000,0.000,48.000,3.294,0.000,0,2,-1/2,0.000,0.000,0.000,0.000,17.000,39.600,35.999,18.190
7,CHOCOLATE,071904,13571,CAD BAR DREAM 50G,42,00071904,9.000,0,9,0/9,0.000,0.000,0.000,8.690,0.000,0,9,0/9,8.000,18.900,17.182,8.560,29.000,68.400,62.180,31.030
7,CHOCOLATE,095518,13586,CAD BAR FLAKE 30G,45,95518,33.000,0,33,0/33,0.000,0.000,0.000,92.400,0.000,0,33,0/33,1.000,2.250,2.045,1.070,10.000,24.030,21.845,10.700
7,CHOCOLATE,011399,13572,CAD BAR FRUIT NUT 50G,42,11399,75.000,1,33,1/33,0.000,0.000,168.000,123.529,0.000,0,33,-5/33,1.000,2.700,2.455,1.070,17.000,41.400,37.636,18.190
7,CHOCOLATE,477590,13588,CAD BAR FRYS TURK DELT 55G,32,477590,68.000,2,4,2/4,0.000,0.000,128.000,476.000,0.000,0,4,-6/4,3.000,8.100,7.364,3.210,4.000,10.800,9.818,4.280
7,CHOCOLATE,386414,13520,CAD BAR FRYS TURK DELT 76G,28,386414,0.000,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,0,0/0,4.000,13.200,12.000,6.600,16.000,52.140,47.400,26.400
7,CHOCOLATE,414982,13573,CAD BAR HAZELNUT 55G,42,414982,75.000,1,33,1/33,0.000,0.000,0.000,190.909,0.000,0,33,-1/33,6.000,15.300,13.909,6.420,11.000,27.450,24.954,11.770
7,CHOCOLATE,349116,13575,CAD BAR MC JEL POP CNDY 50G,48,349116,20.000,0,20,0/20,0.000,0.000,0.000,46.667,0.000,0,20,0/20,0.000,0.000,0.000,0.000,12.000,30.150,27.409,12.840
7,CHOCOLATE,386919,13577,CAD BAR PICNIC 46G,25,386919,31.000,1,6,1/6,0.000,0.000,125.000,78.909,0.000,0,6,-6/6,2.000,4.950,4.500,2.140,11.000,28.350,25.772,11.770
7,CHOCOLATE,387208,13517,CAD BAR PICNIC 67G,25,387208,46.000,1,21,1/21,0.000,0.000,0.000,128.800,0.000,0,21,-1/21,1.000,3.300,3.000,1.650,10.000,33.000,30.000,16.500
7,CHOCOLATE,387274,13518,CAD BAR TWIRL 58G,42,387274,47.000,1,5,1/5,0.000,0.000,0.000,52.640,0.000,0,5,-1/5,9.000,29.700,27.000,14.850,25.000,82.500,75.000,41.250
7,CHOCOLATE,090296,13493,CAD BITE FLAKE 150G,14,00486858,13.000,0,13,0/13,0.000,0.000,0.000,364.000,0.000,0,13,0/13,1.000,5.800,5.273,3.000,1.000,5.800,5.273,3.000
7,CHOCOLATE,24358,24358,CAD BITE TWIRL 140G,14,158065,2.000,0,2,0/2,0.000,0.000,0.000,18.667,0.000,0,2,0/2,1.000,7.500,6.818,3.760,3.000,22.500,20.455,11.280
7,CHOCOLATE,19357,19357,CAD BLK CARAMELLO 180G,15,00462095,4.000,0,4,0/4,0.000,0.000,15.000,10.182,0.000,0,4,-1/4,2.000,13.000,11.818,6.920,11.000,71.500,65.000,38.060
7,CHOCOLATE,19415,19415,CAD BLK DAIRY MILK 180G,16,00463075,1.000,0,1,0/1,0.000,0.000,32.000,1.867,0.000,0,1,-2/1,0.000,0.000,0.000,0.000,15.000,97.500,88.637,51.900
7,CHOCOLATE,19358,19358,CAD BLK FRUIT NUT 180G,14,00462972,9.000,0,9,0/9,0.000,0.000,28.000,19.385,0.000,0,9,-2/9,2.000,13.000,11.818,6.920,13.000,84.500,76.818,44.980
7,CHOCOLATE,19359,19359,CAD BLK HAZELNUT 180G,13,00468148,14.000,1,0,1/1,0.000,0.000,52.000,196.000,0.000,0,1,-5/1,0.000,0.000,0.000,0.000,2.000,13.000,11.818,6.920
7,CHOCOLATE,19417,19417,CAD BLK O/GLD DARK 180G,16,00469097,12.000,0,12,0/12,0.000,0.000,0.000,84.000,0.000,0,12,0/12,0.000,0.000,0.000,0.000,4.000,26.000,23.636,13.840
7,CHOCOLATE,19341,19341,CAD BLK PEPPERMINT 180G,15,00462126,1.000,0,1,0/1,0.000,0.000,0.000,28.000,0.000,0,1,0/1,1.000,6.500,5.909,3.460,1.000,6.500,5.909,3.460
7,CHOCOLATE,19411,19411,CAD BLK PKD CRUNCHIE 180G,14,00462922,6.000,0,6,0/6,0.000,0.000,0.000,9.882,0.000,0,6,0/6,6.000,39.000,35.455,20.760,17.000,109.850,99.864,58.820
7,CHOCOLATE,19363,19363,CAD BLK SNACK 180G,15,00462529,6.000,0,6,0/6,0.000,0.000,30.000,21.000,0.000,0,6,-2/6,2.000,13.000,11.818,6.920,8.000,52.000,47.273,27.680
7,CHOCOLATE,5778,5778,CAD CARAMELLO KOALA 35G,36,00307185,20.000,0,20,0/20,0.000,0.000,288.000,29.474,0.000,0,20,-8/20,4.000,4.800,4.364,3.120,19.000,22.200,20.182,14.820
7,CHOCOLATE,003639,13605,CAD FREDDO D/MILK GNT 35G,36,3639,10.000,0,10,0/10,0.000,0.000,324.000,10.000,0.000,0,10,-9/10,0.000,0.000,0.000,0.000,28.000,41.850,38.045,21.840
7,CHOCOLATE,691089,13539,KINDER BUENO 43G,30,691089,34.000,1,3,1/4,0.000,0.000,570.000,34.000,0.000,0,4,-20/4,6.000,16.200,14.727,6.420,28.000,74.790,67.990,29.960
7,CHOCOLATE,20044,20044,MAR BAR BOUNTY 84G,21,00926471,1.000,0,1,0/1,0.000,0.000,210.000,1.000,0.000,0,1,-10/1,7.000,20.400,18.546,11.970,28.000,81.650,74.228,47.880
7,CHOCOLATE,23050,23050,MAR BAR MARS 47G,50,00233111,104.000,2,4,2/4,0.000,0.000,336.000,416.000,0.000,0,40,-8/40,1.000,2.700,2.455,1.400,7.000,18.630,16.936,9.800
7,CHOCOLATE,23052,23052,MAR BAR MARS 64G,25,00233137,15.000,0,15,0/15,0.000,0.000,0.000,14.000,0.000,0,15,0/15,16.000,50.600,46.000,27.360,30.000,92.950,84.500,51.300
